[2025-05-14 17:16:56,544] DEBUG: Processing batch 41/98 for epoch 2
[2025-05-14 17:16:56,731] INFO: Epoch 2 | Step 41/98 | Loss: 0.7400 | Acc: 74.12%
[2025-05-14 17:16:56,732] DEBUG: Processing batch 42/98 for epoch 2
[2025-05-14 17:16:56,906] DEBUG: Processing batch 43/98 for epoch 2
[2025-05-14 17:16:57,086] DEBUG: Processing batch 44/98 for epoch 2
[2025-05-14 17:16:57,264] DEBUG: Processing batch 45/98 for epoch 2
[2025-05-14 17:16:57,447] DEBUG: Processing batch 46/98 for epoch 2
[2025-05-14 17:16:57,628] DEBUG: Processing batch 47/98 for epoch 2
[2025-05-14 17:16:57,805] DEBUG: Processing batch 48/98 for epoch 2
[2025-05-14 17:16:57,985] DEBUG: Processing batch 49/98 for epoch 2
[2025-05-14 17:16:58,163] DEBUG: Processing batch 50/98 for epoch 2
[2025-05-14 17:16:58,343] DEBUG: Processing batch 51/98 for epoch 2
[2025-05-14 17:16:58,519] INFO: Epoch 2 | Step 51/98 | Loss: 0.7435 | Acc: 74.08%
[2025-05-14 17:16:58,520] DEBUG: Processing batch 52/98 for epoch 2
[2025-05-14 17:16:58,700] DEBUG: Processing batch 53/98 for epoch 2
[2025-05-14 17:16:58,878] DEBUG: Processing batch 54/98 for epoch 2
[2025-05-14 17:16:59,056] DEBUG: Processing batch 55/98 for epoch 2
[2025-05-14 17:16:59,233] DEBUG: Processing batch 56/98 for epoch 2
[2025-05-14 17:16:59,412] DEBUG: Processing batch 57/98 for epoch 2
[2025-05-14 17:16:59,589] DEBUG: Processing batch 58/98 for epoch 2
[2025-05-14 17:16:59,769] DEBUG: Processing batch 59/98 for epoch 2
[2025-05-14 17:16:59,945] DEBUG: Processing batch 60/98 for epoch 2
[2025-05-14 17:17:00,126] DEBUG: Processing batch 61/98 for epoch 2
[2025-05-14 17:17:00,303] INFO: Epoch 2 | Step 61/98 | Loss: 0.7451 | Acc: 73.90%
[2025-05-14 17:17:00,303] DEBUG: Processing batch 62/98 for epoch 2
[2025-05-14 17:17:00,483] DEBUG: Processing batch 63/98 for epoch 2
[2025-05-14 17:17:00,659] DEBUG: Processing batch 64/98 for epoch 2
[2025-05-14 17:17:00,842] DEBUG: Processing batch 65/98 for epoch 2
[2025-05-14 17:17:01,029] DEBUG: Processing batch 66/98 for epoch 2
[2025-05-14 17:17:01,214] DEBUG: Processing batch 67/98 for epoch 2
[2025-05-14 17:17:01,389] DEBUG: Processing batch 68/98 for epoch 2
[2025-05-14 17:17:01,569] DEBUG: Processing batch 69/98 for epoch 2
[2025-05-14 17:17:01,747] DEBUG: Processing batch 70/98 for epoch 2
[2025-05-14 17:17:01,928] DEBUG: Processing batch 71/98 for epoch 2
[2025-05-14 17:17:02,102] INFO: Epoch 2 | Step 71/98 | Loss: 0.7464 | Acc: 73.85%
[2025-05-14 17:17:02,103] DEBUG: Processing batch 72/98 for epoch 2
[2025-05-14 17:17:02,289] DEBUG: Processing batch 73/98 for epoch 2
